,pc,user,won
1310,45,50,user
1311,49,50,user
1312,50,4,pc
1313,43,50,user
1314,50,42,pc
1315,48,50,user
1316,50,41,pc
1317,50,37,pc
1318,37,50,user
1319,50,6,pc
1320,50,47,pc
1321,50,27,pc
1322,44,50,user
1323,36,50,user
1324,50,49,pc
1325,42,50,user
1326,49,50,user
1327,50,38,pc
1328,50,34,pc
1329,50,39,pc
1330,50,45,pc
1331,50,26,pc
1332,37,50,user
1333,50,48,pc
1334,50,48,pc
1335,50,29,pc
1336,50,25,pc
1337,50,24,pc
1338,50,36,pc
1339,48,50,user
1340,44,50,user
1341,50,45,pc
1342,50,27,pc
1343,50,38,pc
1344,50,47,pc
1345,50,41,pc
1346,40,50,user
1347,50,42,pc
1348,50,43,pc
1349,31,50,user
1350,50,47,pc
1351,50,34,pc
1352,50,39,pc
1353,50,49,pc
1354,45,50,user
1355,50,37,pc
1356,50,37,pc
1357,50,24,pc
1358,41,50,user
1359,50,46,pc
1360,50,46,pc
1361,48,50,user
1362,50,38,pc
1363,50,40,pc
1364,50,25,pc
1365,50,44,pc
1366,50,48,pc
1367,50,43,pc
1368,44,50,user
1369,50,24,pc
1370,50,42,pc
1371,50,47,pc
1372,50,36,pc
1373,50,48,pc
1374,41,50,user
1375,50,37,pc
1376,50,48,pc
1377,50,37,pc
1378,50,42,pc
1379,49,50,user
1380,50,36,pc
1381,47,50,user
1382,46,50,user
1383,50,38,pc
1384,50,26,pc
1385,50,10,pc
1386,45,50,user
1387,50,48,pc
1388,50,28,pc
1389,50,29,pc
1390,50,39,pc
1391,50,32,pc
1392,50,38,pc
1393,50,48,pc
1394,50,48,pc
1395,48,50,user
1396,36,50,user
1397,50,47,pc
1398,50,44,pc
1399,50,34,pc
1400,49,50,user
1401,50,34,pc
1402,50,40,pc
1403,50,46,pc
1404,50,32,pc
1405,50,49,pc
1406,43,50,user
1407,50,29,pc
1408,50,47,pc
1409,41,50,user
1410,50,9,pc
1411,50,41,pc
1412,50,43,pc
1413,50,32,pc
1414,48,50,user
1415,50,30,pc
1416,50,46,pc
1417,50,47,pc
1418,50,43,pc
1419,50,25,pc
1420,47,50,user
1421,50,40,pc
1422,50,31,pc
1423,47,50,user
1424,50,39,pc
1425,50,25,pc
1426,38,50,user
1427,50,34,pc
1428,50,36,pc
1429,50,8,pc
1430,49,50,user
1431,50,27,pc
1432,50,31,pc
1433,50,30,pc
1434,50,32,pc
1435,49,50,user
1436,50,44,pc
1437,50,42,pc
1438,50,22,pc
1439,50,19,pc
1440,50,47,pc
1441,50,40,pc
1442,50,31,pc
1443,50,37,pc
1444,50,35,pc
1445,50,45,pc
1446,38,50,user
1447,37,50,user
1448,50,27,pc
1449,50,32,pc
1450,50,33,pc
1451,40,50,user
1452,50,24,pc
1453,50,32,pc
1454,50,42,pc
1455,50,29,pc
1456,50,44,pc
1457,47,50,user
