acceptability_1;confidence_1;distress_1;acceptability_2;confidence_2;distress_2;acceptability_3;confidence_3;distress_3;acceptability_4;confidence_4;distress_4;acceptability_5;confidence_5;distress_5;acceptability_6;confidence_6;distress_6;acceptability_7;confidence_7;distress_7;scenarios_order;condition;1_oxford_1;1_oxford_2;1_oxford_3;1_oxford_4;1_oxford_5;1_oxford_6;1_oxford_7;1_oxford_8;1_oxford_9;oxford_order;age;gender;country;covid;openness;conscientiousness;extraversion;agreeableness;neuroticism;timestamp
0;100;17;79;25;100;0;80;22;100;73;100;100;34;100;-999;-999;-999;0;100;100;753142;1;3;7;6;7;7;2;1;2;1;482356197;73;1;11;3;;;;;;06/05/2020 22:34
55;39;100;90;70;66;65;57;66;86;77;78;40;17;63;-999;-999;-999;22;39;100;213457;3;5;6;6;3;4;4;2;3;4;839261475;22;1;11;-999;;;;;;06/05/2020 22:35
80;82;24;16;81;80;61;26;70;86;89;8;75;73;70;-999;-999;-999;20;71;23;721543;1;6;3;2;2;1;2;3;5;4;859713462;32;2;11;-999;30;33;27;34;25;06/05/2020 22:37
24;100;76;100;100;0;0;100;2;78;72;100;17;100;73;-999;-999;-999;1;100;24;754312;1;3;1;3;2;3;1;2;1;1;137468925;27;2;11;-999;;;;;;06/05/2020 22:37
0;87;99;0;95;59;80;80;98;77;76;86;100;95;100;98;99;97;-999;-999;-999;524136;4;7;3;5;6;6;6;6;3;6;945613872;47;2;11;3;;;;;;06/05/2020 22:39
44;50;100;64;54;71;77;72;78;75;95;87;0;100;54;-999;-999;-999;46;54;100;415327;3;3;3;3;2;3;2;6;2;4;931467285;44;2;11;3;45;30;32;34;16;06/05/2020 22:46
0;100;100;100;100;0;0;100;0;0;100;0;100;100;0;-999;-999;-999;0;100;100;731245;1;3;5;7;2;2;1;4;1;1;421857936;30;6;11;-999;37;30;21;25;37;06/05/2020 22:47
0;100;100;23;22;25;75;75;72;17;88;34;8;88;20;70;18;97;-999;-999;-999;641352;2;1;3;3;3;1;2;5;1;4;589371462;50;1;11;-999;40;36;24;36;23;06/05/2020 22:48
71;28;100;27;57;72;80;62;60;56;36;80;33;61;68;-999;-999;-999;44;24;100;741253;1;6;2;2;3;3;4;4;6;4;781426935;24;1;11;3;36;22;14;35;34;06/05/2020 22:48
93;72;100;100;87;75;4;74;50;0;24;86;78;69;87;100;100;100;-999;-999;-999;345216;4;1;2;7;2;3;1;4;2;2;693745128;57;2;11;-999;;;;;;06/05/2020 22:49
90;73;100;90;89;25;35;68;64;85;59;100;30;39;100;-999;-999;-999;34;67;100;152437;3;3;2;3;5;2;4;1;3;4;152894673;22;1;11;-999;46;22;33;35;35;06/05/2020 22:54
78;27;59;100;16;74;100;100;17;100;100;100;0;100;0;100;100;100;-999;-999;-999;514326;4;1;1;7;2;7;4;7;4;6;438517692;34;1;11;-999;39;43;34;41;17;06/05/2020 23:01
50;77;100;64;83;58;69;70;73;68;59;77;83;82;71;67;61;99;-999;-999;-999;653142;2;5;4;7;3;3;3;2;2;3;825174639;40;1;11;3;35;32;30;34;29;06/05/2020 23:03
33;62;100;19;68;13;60;47;73;25;47;100;34;61;43;23;57;100;-999;-999;-999;615342;2;2;4;3;5;2;1;2;2;2;342897516;20;1;11;-999;;;;;;06/05/2020 23:04
84;27;100;72;23;100;75;53;93;51;19;100;38;41;100;83;30;100;-999;-999;-999;342516;4;4;4;6;4;7;4;5;2;4;568973124;42;1;11;-999;35;37;38;39;25;06/05/2020 23:05
0;100;100;51;48;100;100;100;24;48;50;100;78;77;100;-999;-999;-999;0;100;100;741253;1;6;4;6;5;7;1;6;1;1;926154783;39;2;11;-999;;;;;;06/05/2020 23:08
0;100;48;100;100;0;0;100;17;0;100;83;74;100;100;-999;-999;-999;0;100;26;154327;3;7;1;5;1;7;1;1;1;1;186952374;50;1;11;-999;;;;;;06/05/2020 23:18
100;100;0;0;100;0;100;100;100;0;100;0;100;100;0;100;100;100;-999;-999;-999;132456;4;1;1;1;7;7;5;7;1;7;928163574;30;2;11;23;;;;;;06/05/2020 23:19
51;23;100;22;69;57;82;82;100;100;100;86;8;79;42;100;78;100;-999;-999;-999;625134;2;5;4;4;1;5;6;7;7;7;195834267;28;1;11;3;37;33;27;32;25;06/05/2020 23:20
