,ib,ih,x,y
759,35,13,100.0,37.5
760,35,14,100.0,41.67
761,35,15,100.0,45.83
762,35,16,100.0,50.0
763,35,17,100.0,54.17
764,35,18,100.0,58.33
765,35,19,100.0,62.5
766,35,20,100.0,66.67
767,35,21,100.0,70.83
768,35,22,100.0,75.0
769,35,23,100.0,79.17
770,35,24,100.0,83.33
771,35,25,100.0,87.5
772,35,26,100.0,91.67
773,35,27,100.0,95.83
774,35,28,100.0,100.0
